,word,frequency,pos,en
1764,가만있다,4560,Verb,"remain still[quiet], keep silent, stay motionless, sit still, stand idle, well, let me see, just a minute"
5051,건너오다,4563,Verb,come
1743,더더욱,4569,Noun Noun,even more; much more
1546,뺏다,4584,Verb,
2311,소중히,4588,Adjective,
3215,위법,4600,Noun,"illegality,illegitimacy"
3175,타자기,4617,Noun,typewriter
3792,편히,4619,Adjective,"comfortably, convenient,easy"
144,골목길,4628,Noun,an alley
3143,노랫소리,4634,Noun,"singing, a singing voice, the voice of a singing person"
193,대학교수,4637,Noun,a university[college] professor
293,뒷문,4638,Noun,"back door,rear door"
3419,레몬,4640,Noun,lemon
3713,미움,4642,Noun,"hate,hatred,dislike,displeasure"
4816,발끝,4644,Noun,tiptoe
2690,병실,4646,Noun,"hospital room,patient's room,ward"
1760,비행장,4648,Noun,"airfield,flying field,airport"
1463,술병,4651,Noun,"bottle, alcohol illness"
3205,예보,4655,Noun,forecast
4162,종교적,4669,Noun Suffix,"religious, being religious"
4775,짧아지다,4674,Verb,"shorten,grow[get become] shorter"
468,책가방,4676,Noun,"backpack,school bag,book bag"
2075,교내,4686,Noun,"the school grounds, the campus"
3313,매스컴,4696,Noun,"the  media,mass communication"
4987,발등,4700,Noun,top  of the foot
2859,보내오다,4703,Verb,"send over, appreciate; thank"
5136,세상에,4709,Noun Josa,"in the world, on earth"
5063,쓰레기통,4715,Noun,"wastebasket,garbage[trash] can,dust bin,litter[rubbish waste] bin"
2078,앞쪽,4717,Noun,"the front, the fore , the head, the obverse"
2814,왼발,4723,Noun,left foot
2118,저번,4729,Noun,"the last time,the other day"
882,팩시밀리,4743,Noun,a facsimile
2055,간호,4747,Noun,"nursing,care,nurse,attend ,care for,look after"
1827,건너,4749,Noun,
352,금메달,4754,Noun,gold
3022,눈감다,4756,Verb,"die,pass away[on],breathe one's last"
4296,눈뜨다,4757,Verb,"wake up, awake, be awakened , be awake , become aware"
4577,대입,4758,Noun,"substitution,substitute"
3165,밥맛,4767,Noun,appetite
2629,소문나다,4773,Verb,"a rumor gets started[stirred up], a rumor circulates"
3444,수입되다,4780,Noun Verb,be imported
355,식기,4783,Noun,"the dishes,tableware,table service"
5011,싼값,4784,Noun,"a cheap price, a low price[rate, figure]"
947,양주,4787,Noun,"liquor,spirits"
3936,오른발,4790,Noun,right foot
4157,좋아,4798,Adjective,okay
1296,친해지다,4811,Verb,"become intimate[familiar], become intimately acquainted"
760,코끝,4812,Noun,the tip[end] of one´s nose
211,한국적,4815,Noun Suffix,"Korean, being Korean; Korean style"
101,깨어지다,4825,Verb,be broken
5359,네거리,4827,Noun,"intersection,crossroads,junction,four-way stop"
2533,녹음하다,4829,Noun Verb,record; phonograph
2417,등산로,4833,Noun,trail
250,마사지,4834,Noun,"massage,rubdown,massage,rub down,give  a massage[rubdown]"
2481,무용가,4839,Noun,"dancer,ballet dancer"
375,앞바다,4854,Noun,coastal waters
359,양상추,4856,Noun,lettuce
3922,여대생,4857,Noun,female college student
2192,외갓집,4860,Noun,old home of one's mother
5255,음악가,4864,Noun,musician
4927,이분,4867,Noun,"dividing 《a thing》 into two equal parts,  이분하다 divide 《a thing》 into[in] two , halve, bisect"
1214,제삿날,4874,Noun,"a sacrificial day, a  sacrifice day, the anniversary of 《a person´s》 death"
5244,철학적,4878,Noun Suffix,"philosophical, philosophy, being philosophical"
2548,큰길,4882,Noun,"main street,main road,thoroughfare"
493,하나님,4887,Noun,"the Creator, God,the Lord,the Almighty,Almighty God[Father]"
740,한정하다,4889,Noun Verb,limit; restrict
2250,가톨릭,4893,Noun,"Catholicism,the  Catholic Church,Catholic"
2387,국가적,4901,Noun Suffix,"national, being national; being state, being nationwide"
1103,그래픽,4903,Noun,graphics
3107,기초적,4905,Noun Suffix,"basic, elementary, rudimentary, fundamental, basic; elementary"
4392,대상자,4908,Noun,candidate; recipient; subject
3892,동그라미,4909,Noun,circle
5367,떠나오다,4910,Verb,leave
2952,레이저,4911,Noun,laser
3489,빗방울,4921,Noun,raindrop
4251,시들다,4929,Verb,"wilt,wither ,shrivel ,droop, fade ,wane,wither ,go[run] to seed"
216,야하다,4935,Adjective,"erotic,sexual,racy,vulgar,risque"
1443,오븐,4938,Noun,an oven
2989,왕비,4941,Noun,"queen,queen consort"
2647,운반,4943,Noun,"transportation,transport,transit,conveyance,carriage,transport,carry,convey"
1425,저녁때,4948,Noun,"evening , dusk, sunset, eventide"
2766,적어지다,4950,Verb,drop; fall; decrease
5260,진실로,4952,Adverb,really
70,테스트,4956,Noun,test
1796,하,4961,Exclamation,"【하등】the low class[grade], ah; oh, ha, 【부사적】below, under, underneath, 【하권】the last volume"
4422,한데,4962,Eomi,"by the way, however; but"
1294,혼잣말,4963,Noun,"soliloquy, a monolog, talking to oneself, <pp>―하다</pp>talk to oneself, soliloquize, think aloud"
3503,힘없이,4966,Adjective,walk weakly
186,곧이어,4970,Adverb,soon after
1840,기업인,4974,Noun,business person
1992,깨끗해지다,4976,Verb,"be clean, be clear, be neat; be tidy, taste refreshing; feel fine, be clean; be clear, recover; get well; be completely cured, become fair; become clean, become clean; become innocent; become pure"
5218,낚싯대,4977,Noun,"fishing rod,fishing pole"
4303,냇물,4979,Noun,"stream,brook,creek"
4412,도착,4986,Noun,"arrival,arrive ,reach,get ,come in,get in"
1084,뛰어나오다,4988,Verb,"run out, run out of"
2907,레저,4989,Noun,leisure
3806,반대편,4993,Noun,"opposite side; the other side, opposing side"
198,밝아지다,4996,Verb,brighten; lighten
4831,분명해지다,4999,Verb,분명해지다
4618,산길,5001,Noun,"mountain path,mountain road"
3004,소시지,5004,Noun,sausage
3596,스케줄,5007,Noun,schedule
4355,심각해지다,5010,Verb,"worsen, become intensified[aggravated, acute], assume serious aspect[an acute phase], become more critical[urgent, strained]"
1891,약수,5014,Noun,"mineral water, (기차) Yaksu, aliquot"
3832,양옆,5018,Noun,both sides
5369,어두워지다,5020,Verb,"get[become] dark[dim], be overcast, get[become] gloomy[dismal, shady]"
2775,여고생,5023,Noun,"female high school student,high school girl"
3629,여왕,5024,Noun,queen
512,올라타다,5028,Verb,"get on,get into,mount"
3204,이다음,5031,Determiner Noun,next
104,장사꾼,5035,Noun,"businessman,seller,merchant,trader,storekeeper,shopkeeper,tradesman"
1557,저런,5036,Noun,"that,such, oh no; what the heck, jeoreon"
1618,점심때,5037,Noun,"lunchtime, noontime, noon"
1597,짜증스럽다,5042,Adjective,irritated; annoyed
3592,초여름,5046,Noun,early summer
4149,피곤,5050,Noun,"fatigue, weariness, tiredness, exhaustion,  피곤하다  tired, weary, fatigued, exhausted"
1553,감소되다,5055,Noun Verb,be reduced
2517,공연되다,5057,Noun Verb,be performed
716,교시,5060,Noun,"period, teaching"
2241,그리로,5061,Adverb,there
4903,낚시꾼,5066,Noun,"fisherman,angler"
3017,다양해지다,5067,Verb,다양해지다; 다양하게 만들다
1812,라켓,5073,Noun,"racket,racquet,paddle,bat"
2132,만세,5077,Noun,"hurrah,hurray,hooray, long life, hurray"
1955,만화가,5078,Noun,cartoonist
2041,머리말,5080,Noun,"preface,foreword,introduction"
4708,몸속,5083,Noun,inside the body
1854,반짝거리다,5085,Verb,"glitter,sparkle,twinkle"
1465,번지,5087,Noun,"house number,street address"
964,새소리,5094,Noun,birdcall; birdsong
2803,생활수준,5095,Noun,the standard of living
485,야옹,5108,Adverb,mew
4443,얼마간,5109,Noun,"some time,a while"
3522,올여름,5110,Noun,this summer
4534,위아래,5114,Noun,
1774,이래서,5118,Josa,"so,therefore"
5113,주전자,5131,Noun,"kettle,teakettle"
594,컨디션,5138,Noun,"condition, condition"
96,코스모스,5139,Noun,"cosmos,Mexican Aster"
4329,킬로,5140,Noun,kilo
5100,튼튼히,5142,Adjective,"strongly, healthily, stably; strongly, strongly; solidly"
1944,학교생활,5146,Noun,one´s school[college] life
4362,한둘,5147,Determiner Noun,one or two
3668,가만,5151,Adverb,", just as it is, with no interference"
1807,감정적,5152,Noun Suffix,"emotional, being emotional"
1070,기억되다,5162,Noun Verb,be remembered; be recalled
4232,꽃씨,5164,Noun,flower seeds
2960,뒷골목,5171,Noun,"backstreet,alley, back alley"
4145,싫어지다,5198,Adjective,"become disgusted , get sick[tired] , get fed up"
3917,여직원,5201,Noun,"female employee[worker],woman employee[worker]"
777,전시되다,5215,Noun Verb,be exhibited
1656,종이컵,5218,Noun,paper cup
1647,주문,5219,Noun,"order,order,place[give] an order, request ,demand ,ask ,request"
2945,코끼리,5227,Noun,elephant
3771,큰소리,5229,Noun,"big talk,tall talk,boast,bragging"
1831,큰아들,5230,Noun,one´s eldest son
2238,특급,5231,Noun,
2428,한평생,5235,Noun,"one's whole[entire] life,lifetime, for life; all one's life; throughout life"
4455,허허,5238,Adverb,"ha-ha, with a laugh"
5396,호실,5239,Noun,room
2885,볶음,5253,Noun,"saut&eacute,stir-fry, Stir-fried Dishes"
5289,시대적,5258,Noun Suffix,"periodic, character of the times"
3010,앞문,5260,Noun,"front door,front entrance,front gate,main gate"
1678,늦가을,5270,Noun,"late fall,late autumn"
2480,장모,5276,Noun,"one's wife's mother,one's mother-in-law"
1788,미역,5286,Noun,"sea mustard,seaweed, bathing"
2079,아래층,5293,Noun,"lower floor[story level],downstairs"
152,초순,5298,Noun,the first ten days of a month
4528,하순,5300,Noun,the last ten days of a month
4363,독일어,5321,Noun,German
1988,문학적,5323,Noun Suffix,"being literary, literary"
1747,장인,5331,Noun,"master craftsman,master artisan"
237,동서남북,5335,Noun,"cardinal points  north, south, east, and west"
4351,입국,5340,Noun,"entry,entrance,enter a country,be admitted into a country"
1880,국민적,5348,Noun Suffix,"national, relating to the nation"
1634,큰딸,5364,Noun,one´s eldest[oldest《미》] daughter
387,발음하다,5371,Noun Verb,pronounce
5057,출입국,5381,Noun,entry into and departure from the country
2336,운동복,5394,Noun,"sportswear,jogging suit,sweatsuit"
3575,작은아들,5395,Noun,younger son
2454,공항버스,5404,Noun,"Airport Limousine Bus, airport bus"
4146,다섯째,5409,Modifier,"the fifth, fifth"
3576,배추김치,5410,Noun,"napa cabbage kimchi, Kimchi"
1605,색연필,5412,Noun,colored pencil
1389,넉,5421,Noun,four
1898,메일,5422,Noun,e-mail; electronic mail
1576,내후년,5431,Noun,three years from now
589,식품점,5435,Noun,"grocery store,grocer's"
2119,약혼녀,5436,Noun,fiancee; bride-to-be
4239,예습,5440,Noun,"preparation,prepare,prep"
4563,출석하다,5443,Noun Verb,attend
1714,약혼자,5448,Noun,"fianc,fiance"
4994,케첩,5455,Noun,"ketchup,catsup"
1330,작은딸,5463,Noun,younger daughter
3502,저곳,5464,Determiner Noun,"there,that place"
